"Date","Price","Open","High","Low","Vol.","Change %"
"03/24/2020","21.60","21.60","21.60","21.60","196.34K","0.00%"
"03/23/2020","21.60","24.00","21.60","21.60","4.61M","-10.00%"
"03/20/2020","24.00","24.00","24.00","24.00","218.78K","0.00%"
"03/19/2020","24.00","24.00","24.00","23.20","1.03M","0.00%"
"03/18/2020","24.00","24.00","24.00","24.00","1.78M","0.00%"
"03/17/2020","24.00","22.36","24.00","24.00","3.29M","7.33%"
"03/16/2020","22.36","22.40","22.40","22.36","1.15M","-0.18%"
"03/13/2020","22.40","23.76","22.40","22.40","34.92M","-5.72%"
"03/12/2020","23.76","26.40","23.76","23.76","8.64M","-10.00%"
"03/11/2020","26.40","26.48","26.40","26.40","576.64K","-0.30%"
"03/10/2020","26.48","29.40","26.48","26.48","19.83M","-9.93%"
"03/09/2020","29.40","32.64","29.40","29.40","2.55M","-9.93%"
"03/06/2020","32.64","32.64","32.64","32.64","387.49K","0.00%"
"03/05/2020","32.64","32.64","32.64","32.64","141.68K","-3.55%"
"03/04/2020","33.84","32.40","33.84","33.84","405.00K","4.44%"
"03/03/2020","32.40","32.40","32.40","32.40","16.45M","0.00%"
"03/02/2020","32.40","32.40","32.44","32.40","8.66M","0.00%"
"02/28/2020","32.40","36.00","32.40","32.40","1.13M","-10.00%"
"02/27/2020","36.00","36.80","36.00","36.00","49.37M","-2.17%"
"02/26/2020","36.80","36.80","36.80","36.80","512.04K","0.00%"
"02/25/2020","36.80","37.60","36.80","36.80","578.52K","-2.13%"
"02/24/2020","37.60","38.76","37.60","37.60","2.44M","-2.99%"
"02/21/2020","38.76","41.20","38.76","37.64","1.68M","-5.92%"
"02/20/2020","41.20","41.20","41.20","41.20","168.40K","0.00%"
"02/19/2020","41.20","41.20","41.20","41.20","381.60K","0.00%"
"02/18/2020","41.20","41.20","41.20","41.20","221.95K","0.00%"
"02/17/2020","41.20","41.20","41.20","41.20","731.25K","0.00%"
"02/14/2020","41.20","41.20","41.20","41.20","437.35K","0.00%"
"02/13/2020","41.20","41.20","41.20","41.20","331.73K","0.00%"
"02/12/2020","41.20","41.20","41.20","41.20","225.95K","0.00%"
"02/11/2020","41.20","41.20","41.20","41.20","164.18K","0.00%"
"02/10/2020","41.20","41.20","41.20","41.20","277.61K","0.00%"
"02/07/2020","41.20","41.20","41.20","41.20","143.30K","0.00%"
"02/06/2020","41.20","41.20","41.20","41.20","28.41M","0.00%"
"02/05/2020","41.20","44.00","41.20","41.20","5.19M","-6.36%"
"02/04/2020","44.00","44.00","44.00","44.00","336.20K","0.00%"
"02/03/2020","44.00","44.00","44.00","44.00","209.76K","0.00%"
"01/31/2020","44.00","44.00","44.00","44.00","693.80K","0.00%"
"01/30/2020","44.00","44.00","44.00","44.00","77.19K","0.00%"
"01/29/2020","44.00","43.20","44.00","43.20","2.16M","1.85%"
"01/28/2020","43.20","43.20","43.20","43.20","4.30M","0.00%"
"01/27/2020","43.20","41.60","43.20","42.40","3.27M","3.85%"
"01/24/2020","41.60","41.60","41.60","41.60","388.31K","0.00%"
"01/23/2020","41.60","41.60","41.60","41.60","357.93K","0.00%"
"01/22/2020","41.60","41.60","41.60","41.60","183.19K","0.00%"
"01/21/2020","41.60","40.88","41.60","41.60","972.56K","1.76%"
"01/20/2020","40.88","40.88","40.88","40.88","206.00K","0.00%"
"01/17/2020","40.88","40.88","40.88","40.88","244.54K","0.00%"
"01/16/2020","40.88","40.88","40.88","40.88","266.60K","0.00%"
"01/15/2020","40.88","40.88","40.88","40.88","91.47K","0.00%"
"01/14/2020","40.88","44.84","40.88","40.88","604.54K","-8.83%"
"01/13/2020","44.84","44.84","44.84","44.84","446.95K","0.00%"
"01/10/2020","44.84","44.84","44.84","44.84","153.91K","0.00%"
"01/09/2020","44.84","44.84","44.84","44.84","126.40K","0.00%"
"01/08/2020","44.84","44.84","44.84","44.84","1.92M","0.00%"
"01/07/2020","44.84","44.88","44.84","44.84","1.81M","-0.09%"
"01/06/2020","44.88","44.88","44.88","44.88","458.16K","0.00%"
"01/03/2020","44.88","47.20","44.88","44.88","1.78M","-4.92%"
"01/02/2020","47.20","47.20","47.20","47.20","121.52K","0.00%"
"12/31/2019","47.20","47.80","47.20","46.40","2.59M","-1.26%"
"12/30/2019","47.80","46.36","47.80","42.80","3.15M","3.11%"
"12/27/2019","46.36","46.36","46.36","46.36","891.00K","0.00%"
"12/24/2019","46.36","46.36","46.36","46.36","220.52K","0.00%"
"12/23/2019","46.36","46.36","46.36","46.36","618.59K","0.00%"
"12/20/2019","46.36","42.16","46.36","46.36","900.32K","9.96%"
"12/19/2019","42.16","42.16","42.16","42.16","187.92K","0.00%"
"12/18/2019","42.16","42.16","42.24","42.16","11.34M","0.00%"
"12/17/2019","42.16","42.16","42.16","42.16","467.34K","0.00%"
"12/16/2019","42.16","42.16","42.16","42.16","1.63M","0.00%"
"12/13/2019","42.16","42.16","42.16","42.16","2.05M","0.00%"
"12/12/2019","42.16","41.00","42.16","42.16","801.03K","2.83%"
"12/11/2019","41.00","41.00","41.00","41.00","397.40K","0.00%"
"12/10/2019","41.00","40.96","41.00","40.96","6.76M","0.10%"
"12/09/2019","40.96","40.96","40.96","40.96","239.75K","0.00%"
"12/06/2019","40.96","40.96","40.96","40.96","361.86K","0.00%"
"12/05/2019","40.96","40.84","40.96","40.96","10.63M","0.29%"
"12/04/2019","40.84","40.84","40.84","40.84","949.54K","0.00%"
"12/03/2019","40.84","40.84","40.84","40.84","6.53M","0.00%"
"12/02/2019","40.84","40.84","40.84","40.80","15.06M","0.00%"
"11/29/2019","40.84","40.72","40.92","40.80","26.31M","0.29%"
"11/28/2019","40.72","40.72","40.72","40.72","160.95K","0.00%"
"11/27/2019","40.72","40.72","40.72","40.72","72.44K","0.00%"
"11/26/2019","40.72","40.40","40.72","40.72","809.87K","0.79%"
"11/25/2019","40.40","40.40","40.40","40.40","1.15M","0.00%"
"11/22/2019","40.40","41.20","40.40","40.40","7.87M","-2.88%"
"11/21/2019","41.60","41.60","41.60","41.60","540.59K","0.00%"
"11/20/2019","41.60","39.20","41.60","41.60","528.46K","6.12%"
"11/19/2019","39.20","38.80","39.20","39.20","17.41M","1.03%"
"11/18/2019","38.80","38.80","38.80","38.80","1.34M","0.00%"
"11/15/2019","38.80","38.00","38.80","38.40","1.07M","2.11%"
"11/14/2019","38.00","37.80","38.00","38.00","45.36M","0.53%"
"11/13/2019","37.80","37.76","37.80","37.76","79.79M","0.11%"
"11/12/2019","37.76","37.20","37.84","37.20","45.02M","1.51%"
"11/08/2019","37.20","37.20","37.20","37.20","118.83K","0.00%"
"11/07/2019","37.20","37.20","37.20","37.20","431.75K","0.00%"
"11/06/2019","37.20","37.20","37.20","37.20","348.46K","0.00%"
"11/05/2019","37.20","37.20","37.20","37.20","383.52K","0.00%"
"11/04/2019","37.20","37.20","37.20","37.20","508.71K","0.00%"
"11/01/2019","37.20","40.00","37.20","37.20","3.70M","-7.00%"
"10/31/2019","40.00","37.00","40.00","40.00","603.84K","8.11%"
"10/30/2019","37.00","37.00","37.00","37.00","276.48K","0.00%"
"10/29/2019","37.00","36.84","37.00","37.00","6.38M","0.43%"
"10/28/2019","36.84","36.84","36.84","36.84","267.76K","0.00%"
"10/25/2019","36.84","36.84","36.84","36.84","494.56K","0.00%"
"10/24/2019","36.84","36.84","36.84","36.84","632.04K","0.00%"
"10/23/2019","36.84","36.84","36.84","36.84","371.71K","0.00%"
"10/22/2019","36.84","36.84","36.84","36.84","293.99K","0.00%"
"10/21/2019","36.84","36.84","36.84","36.84","1.51M","0.00%"
"10/18/2019","36.84","36.84","36.84","36.84","248.86K","0.00%"
"10/17/2019","36.84","36.84","36.84","36.84","316.57K","0.00%"
"10/16/2019","36.84","36.80","36.84","36.84","4.86M","0.11%"
"10/15/2019","36.80","36.80","36.80","36.80","5.49M","0.00%"
"10/14/2019","36.80","36.80","36.80","36.80","1.60M","0.00%"
"10/11/2019","36.80","38.40","36.80","36.80","705.10K","-4.17%"
"10/10/2019","38.40","38.40","38.40","38.40","10.04M","0.00%"
"10/09/2019","38.40","40.00","38.40","37.72","473.52K","-4.00%"
"10/08/2019","40.00","40.00","40.00","40.00","1.47M","0.00%"
"10/07/2019","40.00","40.28","40.00","39.36","311.46K","-0.70%"
"10/04/2019","40.28","40.28","40.28","40.28","168.96K","0.00%"
"10/03/2019","40.28","39.20","40.28","40.24","3.52M","2.76%"
"10/02/2019","39.20","42.00","40.00","39.20","1.72M","-6.67%"
"09/30/2019","42.00","42.00","42.00","42.00","147.41K","0.00%"
"09/27/2019","42.00","42.00","42.00","42.00","2.41M","0.00%"
"09/26/2019","42.00","42.00","42.00","42.00","10.79M","0.00%"
"09/25/2019","42.00","41.60","42.00","42.00","88.87M","0.96%"
"09/24/2019","41.60","41.60","42.00","41.60","46.60M","0.00%"
"09/23/2019","41.60","42.04","41.84","41.60","1.23M","-1.05%"
"09/20/2019","42.04","41.60","42.04","41.56","35.17M","1.06%"
"09/19/2019","41.60","41.60","41.60","41.60","413.33K","0.00%"
"09/18/2019","41.60","41.44","41.60","41.44","5.73M","0.39%"
"09/17/2019","41.44","41.20","41.44","41.32","3.50M","0.58%"
"09/16/2019","41.20","40.84","41.20","41.20","7.38M","0.88%"
"09/13/2019","40.84","40.60","40.84","40.84","326.02K","0.59%"
"09/12/2019","40.60","40.60","40.60","40.60","399.75K","0.00%"
"09/11/2019","40.60","40.60","40.64","40.60","626.82K","0.00%"
"09/10/2019","40.60","40.44","40.60","40.60","364.26K","0.40%"
"09/09/2019","40.44","40.44","40.44","40.44","114.42K","0.00%"
"09/06/2019","40.44","40.44","40.44","40.44","124.36K","0.00%"
"09/05/2019","40.44","40.44","40.44","40.44","41.92K","0.00%"
"09/04/2019","40.44","41.20","40.44","40.40","2.16M","-1.84%"
"09/03/2019","41.20","41.20","41.20","41.20","330.25K","0.00%"
"09/02/2019","41.20","40.96","41.20","41.20","6.23M","0.59%"
